,ID,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,ResultIndex,0,1
0,1,0.0219137958797837,0.00663328834907114,-0.0160469462937379,-0.329514271935668,0.375469223292088,-0.145740872850616,-0.0119532555585144,0.00834169146189462,-0.361396806865332,-0.344136821942805,-0.0163206062555237,0.00989911355240304,-0.034302912358928,0.0222556015098492,-0.333251087230136,-0.00993584400737291,1.19339256398806,-0.0186055877163745,-0.0151708498423918,0.259079045725222,-0.418781619341387,-0.0334484176608708,-0.0397125633664152,-0.0164998531431363,-0.00727607734720806,-0.0128764359042941,0.00398775331976869,-0.191949445080702,-0.270191974736219,0.00630789384200936,-0.29540618239306,-0.0204326573846837,-0.0197610556839861,-0.0999508753242264,0.0111206318013172,0.00653505814379579,-0.0111632560957559,-0.0207827883210778,-0.0201438025077954,-0.011490503603639,-0.301879235929547,0,0.67,0.33
1,2,-0.0165682795381237,0.00706796699948439,-0.0185210559094227,-0.157407819993179,0.1167589935325,-0.126963263981658,-0.0113741451446972,-0.00599705585005202,-0.232415607301714,-0.180306399360392,-0.0164193497733779,0.0100439226761235,-0.0425561858819571,-0.0599801678871565,-0.243896833917847,-0.00971353342475144,-0.468250173588018,-0.0191725674604323,-0.0176231633985687,0.445361524760924,-0.227723694708398,-0.0327185149394949,-0.00982712697138466,-0.000996984641342119,-0.00738577857177082,-0.00120590235011782,0.0039917963070187,-0.148673522209591,-0.20300287793688,0.00920337780979842,-0.147176236315216,-0.0140085820232911,-0.0178534604975684,-0.111767153835692,0.00948440890706744,0.00508176854416695,-0.00962377528970475,-0.0220026766524427,-0.175266995233205,-0.0117347690655096,-0.291649018169285,1,0.9,0.1
2,3,0.0465212041465069,0.00613775981572655,-0.0160469462937379,-0.407929785910775,-0.757936523045372,-0.31623571740748,-0.0155169516879773,-0.0663438622652578,-0.687838392650546,-0.418814864081099,0.326757504122493,-0.0946711749142345,-0.063524131405811,-0.45922057192156,-0.681644603343827,-0.0101051099474571,-1.27987716207706,0.00634777562497128,-0.00280403874016631,-0.320109179899478,-0.919230673608894,-0.0345563344080844,0.00513368533494698,-0.116843099521086,-0.00776414823713492,-0.0858238402901642,0.00344769952078019,-0.204495096419799,-0.583000457447442,-0.0838352426128898,-0.113176789892536,-0.00538025422682181,-0.00267940787833659,-0.108811396168038,0.0072584869076716,-0.0216836614631539,-0.0068166082497468,-0.00860851074308149,-0.27063684407613,0.0022690851819881,-0.549296181275053,2,0.72,0.28
3,4,0.0177223883260081,0.00741065638423961,0.0253319449759913,-0.326402379435191,-0.366549777121775,-0.0449472000844844,-0.01181177869778,-0.0132648596041118,-0.0536892734131886,-0.329503424974278,-0.0705511137525165,0.0165241309626141,0.0207879165243044,0.0601324656135087,-0.0828335905273415,-0.00997157836419456,0.463267867230134,-0.0249152310236608,-0.0251939065952482,-0.583648210512744,0.427051079354194,-0.016294236492914,-0.057616684040209,0.00698918951590006,-0.00741791007659001,0.00580827114852354,0.0102838101476826,-0.0913485537515114,0.337469579603358,0.0306824044884245,-0.234405827283246,-0.018674302248494,-0.020354694230358,-0.130014695132991,0.00963375490866033,0.0219320531063267,-0.00979120294914113,-0.0230852447549699,0.0334840440925862,-0.017164591096464,0.187839545881333,3,1.0,0.0
4,5,0.123400614238622,0.00817326473893609,-0.000894421248137924,-0.579510766609559,-0.332886926268255,0.00649514362285791,-0.0101827671179429,0.000209763009517475,-0.305759277409391,-0.572107650259546,-0.031292166531551,0.0291613889396456,-0.0221377172126803,-0.278317263839578,-0.30037094698311,-0.00995241144239199,0.813048535909512,-0.00671777689956857,-0.0223284048761081,-0.640521334806405,0.0631293115666226,-0.0345640795281289,0.046062559477566,0.03218341152515,-0.00737020621313088,0.0254613758497785,0.00472117428808281,0.137675945886891,0.00993131149830738,0.0273927955336967,-0.519687923907164,-0.041020495563584,-0.012765130100095,0.282996142794709,0.0100971627158899,0.067074484404341,-0.0102545204442097,0.145349745772055,-0.273849345329906,-0.015402315382282,-0.0507784165487159,4,1.0,0.0
5,6,0.086701353697787,-0.00353866525681735,-0.0160469462937379,-0.503997457881877,5.04140965439683,-0.128249450731651,-0.0125902931429971,0.0145931472264103,-0.388933257821669,-0.510273595134388,-0.06292323374743,0.00644019856412424,-0.0264257467607494,-0.158195399584054,-0.384097875540715,-0.00978783321403474,0.79547829548197,-0.024775127920882,-0.0270260054001803,2.40803791785809,-0.119671607920162,-0.0312595394368932,-0.103774755630758,-0.0125576562426847,-0.00732548521711214,-0.00833972775220352,0.00430162686058544,-0.122550186516356,0.125646343696709,0.0224450352394975,-0.241121672992355,-0.0197051709234128,-0.0186222086685915,-0.0703544737325801,0.00926227669942343,0.0188729441223875,-0.00934661091598318,-0.0193076239089316,0.101262486892548,-0.0183431457412489,0.466656539169833,5,0.91,0.09
6,7,-0.0629051700451442,0.00744055569273838,0.00351223741718328,0.209753724693974,-0.274358449584268,0.23179569229627,-0.00955510755989647,-0.0189778111692125,0.356968682094954,0.169225011925873,-0.0568485779283599,0.0488634155628922,-0.0157649833139041,0.331465376488763,0.298100139571424,-0.00992566292946477,2.74252670319618,-0.0216112370931751,-0.0243157736222515,-0.502288551423211,0.507843581097255,-0.0342397359533611,0.0614606460802931,0.0635948364279485,-0.00743846089333614,0.0499642964878382,0.00783645015394799,-0.026283337680621,0.407549729214415,0.0595896141878138,-0.309525503064771,-0.0183350762005304,-0.0183536226501047,2.4066683580689,0.0108321036997522,0.015647116536587,-0.0109892194497628,-0.0199175427947487,-0.0449781193521157,-0.017065207552321,0.170079788285356,6,1.0,0.0
7,8,-0.0463187990955608,0.0074064466585712,0.067291718040987,0.047434070239563,0.27852021283395,-0.0102473271841356,-0.00996686513340194,-0.0183680023754861,0.282741876599088,0.0146995211114903,-0.043345685607543,0.0364481627497998,0.125964116737451,0.148060533840065,0.354203423987284,-0.00923256458474059,-0.520517947632973,-0.0220302954809508,-0.0211692866520245,0.815549895857763,0.125234605135047,-0.0316567250802003,0.0139485320133198,0.0223630406645886,-0.00743512528726617,0.0231253681273932,0.00543875249774855,-0.0889024370379758,-0.0479008971653013,0.020987348534817,-0.0660359844031129,-0.0125432860764663,-0.0176684110753826,-0.109888365552369,0.00993325947308678,0.01502351802154,-0.0101687413061926,-0.0225617830088114,-0.168521973443669,-0.0145195001657961,-0.129571006135356,7,1.0,0.0
8,9,0.0150889067525627,0.00722010918906221,0.0346394586647604,-0.304130418612985,-0.349853003098429,-0.0494788425196902,-0.0116582048741978,-0.00771271535041984,-0.203228706603515,-0.319999669877871,0.0163544182904962,0.0224639669675743,0.0356269282068098,0.0860298611893928,-0.236047627505493,-0.00996613161017729,0.49368357755008,-0.0218360900639294,-0.0213032195911008,-0.604362961980748,0.218963081607161,-0.032889215843958,-0.0344682874944719,0.0140844271736402,-0.00739091554210444,0.0113430103643905,0.00412730732609046,-0.14264009842935,0.367057832266908,0.0400843528820244,0.256003715982493,0.139944987622652,0.0476371161518742,0.194694781518315,0.00986848870164715,0.0180230339733246,-0.010025821971904,-0.0210564849971117,-0.0879222453077576,-0.0145730708314682,-0.125302192641718,8,1.0,0.0
9,10,-0.000542501200709409,0.00667367234530886,0.00312796176800702,-0.249745398000621,-0.381271663895048,-0.142053018135812,-0.0103608804947306,-0.00958174267803868,-0.16435627189386,-0.257410086104882,-0.0236843757249245,0.0113030167114135,-0.0168913110645939,0.120501602389609,-0.137345401989516,-0.00997733717438288,0.807290221819813,-0.0156405932577909,-0.0128929806955608,-0.654330703120962,-0.269731208389709,-0.0334974137704519,-0.0218928818670978,-0.000850764974489004,-0.00740350356559818,-0.000307394832197004,0.00405586923598268,-0.168751029879615,-0.42482898499624,-0.0146754670163896,-0.346260185851343,-0.0219633324853003,-0.0204926882280451,-0.152830409702822,0.009419775857872,0.00528949282767748,-0.009577237009368,-0.0209344675134611,-0.185737369689955,-0.00831190755045642,-0.402327030994113,9,1.0,0.0
